trade_date,value,realized_trades,total_net,total_volume,win_rate,active_accounts
2024-05-18,73.0,16,3488.6878930000003,96305.06,1.0,1
2024-05-20,70.0,3,-76.61091400000001,5121.35,0.0,1
2024-05-21,76.0,25,7155.681589999999,382045.7,0.56,2
2024-05-23,76.0,156,376.063451,179528.69,0.9294871794871795,1
2024-05-24,74.0,2,804.165113,50811.899999999994,1.0,1
2024-05-25,76.0,5,13.506321999999999,2484.91,1.0,1
2024-05-26,75.0,4,769.611197,26275.27,1.0,2
2024-05-27,74.0,93,1109.778044,76102.26,0.967741935483871,1
2024-05-29,72.0,71,269.772058,26337.69,0.9577464788732394,1
2024-05-30,73.0,5,20.327274000000003,1783.32,1.0,1
2024-05-31,73.0,4,24.72624,1805.3799999999999,1.0,1
2024-06-01,72.0,9,89.280387,6371.530000000001,1.0,1
2024-06-02,73.0,34,190.437093,10703.07,1.0,1
2024-06-03,73.0,44,558.998867,14384.74,1.0,1
2024-06-04,73.0,25,49.030207,12095.619999999999,1.0,1
2024-06-05,75.0,17,53.009916000000004,12647.34,0.9411764705882353,1
2024-06-06,78.0,102,260.825704,68642.33,0.9803921568627451,1
2024-06-07,77.0,178,8658.201062,728060.25,0.9887640449438202,2
2024-06-08,72.0,8,119.37249800000001,27903.85,1.0,1
2024-06-10,72.0,18,28.928872,11278.16,1.0,1
2024-06-11,74.0,17,4308.576276,34444.41,1.0,2
2024-06-12,72.0,78,-21921.777313,106886.71,0.2692307692307692,1
2024-06-13,70.0,20,6604.740078,80049.19,0.95,2
2024-06-14,74.0,15,10253.934652,41879.7,1.0,1
2024-06-15,74.0,38,3182.575156,535380.57,1.0,2
2024-06-17,71.0,26,10526.228122,209355.04,0.9615384615384616,2
2024-06-18,74.0,4,273.721531,25299.510000000002,1.0,1
2024-06-19,64.0,31,4758.887763,367911.97,1.0,2
2024-06-20,60.0,8,57478.456026,169507.75,1.0,1
2024-06-21,63.0,3,763.329885,29223.769999999997,1.0,1
2024-06-22,53.0,8,730.346832,75799.25,1.0,1
2024-06-25,30.0,11,4850.925693,52649.76,1.0,1
2024-06-26,46.0,21,4086.013152,319197.26,1.0,1
2024-06-29,30.0,24,6063.80934,247190.91,1.0,2
2024-07-01,53.0,26,4968.425270000001,278385.62,1.0,2
2024-07-02,51.0,13,2409.8016860000002,33074.42,1.0,1
2024-07-03,50.0,4,1108.278271,28882.899999999998,1.0,1
2024-07-06,26.0,7,108.306318,1616.7399999999998,1.0,1
2024-07-07,29.0,10,61.379067,498.75,1.0,1
2024-07-09,27.0,15,648.586844,2736.45,1.0,1
2024-07-10,28.0,38,11763.217066,612908.21,1.0,2
2024-07-11,29.0,9,1846.753688,85881.14,1.0,1
2024-07-12,25.0,9,1407.5629490000001,13576.32,1.0,1
2024-07-13,25.0,17,2864.9016269999997,139189.19,1.0,2
2024-07-15,52.0,2,-6.099134,15176.0,0.0,1
2024-07-17,69.0,155,1796.710881,214452.88,0.9354838709677419,1
2024-07-18,61.0,48,3605.886632,565707.72,1.0,2
2024-07-19,60.0,12,2125.387673,87152.69,1.0,2
2024-07-20,74.0,36,2268.377617,89463.46,0.9166666666666666,2
2024-07-21,74.0,236,-2973.173092,84972.51,0.08898305084745763,1
2024-07-22,70.0,106,1464.5100719999998,176071.63,0.20754716981132076,2
2024-07-23,71.0,364,89840.506975,331532.55,0.9038461538461539,2
2024-07-24,69.0,18,617.738839,24136.02,1.0,1
2024-07-25,68.0,10,913.562391,9073.93,1.0,1
2024-07-26,68.0,61,2659.763575,322855.83999999997,1.0,2
2024-07-27,72.0,42,6124.561279,788749.6799999999,1.0,1
2024-07-28,71.0,12,584.234395,8756.13,1.0,1
2024-07-29,74.0,16,274.056458,162137.14,1.0,2
2024-07-31,61.0,14,757.100535,24543.89,1.0,1
2024-08-01,52.0,7,162.88153899999998,11995.66,0.5714285714285714,1
2024-08-02,57.0,17,761.255376,60322.34,1.0,2
2024-08-03,37.0,1,462.60277,4534.09,1.0,1
2024-08-04,34.0,65,-122978.73211900001,876375.02,0.046153846153846156,3
2024-08-05,26.0,38,-13077.904569,183541.19,0.868421052631579,3
2024-08-06,17.0,26,267.165841,795.68,0.5,2
2024-08-07,29.0,10,188.669803,1194.55,1.0,1
2024-08-08,20.0,3,-40.872961999999994,459.27,0.0,1
2024-08-09,48.0,58,17924.480178,450260.37,0.7413793103448276,3
2024-08-11,39.0,4,840.482515,20840.300000000003,1.0,1
